nnaar,aa_es,aa_ts,MIA_F1,MIA_Precision,MIA_Recall,MIA_Accuracy,Privacy_Discriminator_Accuracy,Privacy_Score,Prevalence_R2,Prevalence_Pearson,Prevalence_RMSE,method,long_tailed_percentile
-0.0026525198938992522,0.9350132625994695,0.9376657824933687,0.5054347826086957,0.5166666666666667,0.4946808510638298,0.5159574468085106,0.8184728701203043,0.3630542597593913,-0.15349561834737346,0.6028296004613194,0.00040399984511633,synthetic_10k_halo,75.0
0.009052924791086325,0.9415041782729805,0.9324512534818942,0.48314606741573035,0.48725212464589235,0.479108635097493,0.48746518105849584,0.8124389922173856,0.37512201556522884,0.6271829217564883,0.8113729007554168,0.0004732292318168097,synthetic_10k_halo,90.0
0.023838630806845895,0.9584352078239609,0.934596577017115,0.5158924205378973,0.5158924205378973,0.5158924205378973,0.5158924205378973,0.8147137785666742,0.3705724428666517,0.7280713099974776,0.8727319565823171,0.0006841482020256663,synthetic_10k_halo,95.0
0.007709251101321701,0.9620044052863437,0.954295154185022,0.5188470066518847,0.5223214285714286,0.5154185022026432,0.5220264317180616,0.8093686617617816,0.38126267647643686,0.7894454540995308,0.9109545926147402,0.0009280458752086777,synthetic_10k_halo,97.5
0.005832449628843994,0.9867444326617179,0.9809119830328739,0.5145945945945946,0.5242290748898678,0.505307855626327,0.5233545647558386,0.8189531785306433,0.3620936429387134,0.8321249180860878,0.9404296964061803,0.0013264473215187738,synthetic_10k_halo,99.0
0.022546419098143256,0.9376657824933687,0.9151193633952255,0.32452830188679244,0.5584415584415584,0.22872340425531915,0.523936170212766,0.9604266067920292,0.07914678641594164,-32.052064224970906,0.5886480827648961,0.0021625816721315325,synthetic_10k_medgan,75.0
0.032729805013927527,0.9122562674094707,0.8795264623955432,0.367003367003367,0.46382978723404256,0.30362116991643456,0.4763231197771588,0.9098649442160892,0.18027011156782158,-6.020108896272695,0.8271567734157064,0.002053504168412895,synthetic_10k_medgan,90.0
0.03239608801955984,0.9144254278728606,0.8820293398533008,0.5198019801980198,0.5263157894736842,0.5134474327628362,0.5256723716381418,0.884160468235581,0.23167906352883794,-1.1432742640318119,0.885976062303713,0.0019207089020422529,synthetic_10k_medgan,95.0
-0.0038546255506607396,0.9162995594713657,0.9201541850220264,0.5022123893805309,0.5044444444444445,0.5,0.5044052863436124,0.8489522391234975,0.302095521753005,0.2910034994802051,0.9269277144116433,0.0017029785564164031,synthetic_10k_medgan,97.5
0.008483563096500557,0.9485683987274656,0.940084835630965,0.4956140350877193,0.5124716553287982,0.47983014861995754,0.5116772823779193,0.8373272347618574,0.3253455304762851,0.7626764181208786,0.9571503165454455,0.0015771294284403332,synthetic_10k_medgan,99.0
-0.021220159151193685,0.9323607427055702,0.9535809018567639,0.21551724137931033,0.5681818181818182,0.13297872340425532,0.5159574468085106,0.9374665954035275,0.125066809192945,-58.97122313334991,0.12022262786892916,0.00291302812212992,synthetic_10k_corgan,75.0
0.020891364902507092,0.9512534818941505,0.9303621169916434,0.24750499001996007,0.43661971830985913,0.17270194986072424,0.47493036211699163,0.8854294687969412,0.22914106240611765,-23.657744673677865,0.28894904950929,0.0038485784161680914,synthetic_10k_corgan,90.0
0.01344743276283622,0.9663814180929096,0.9529339853300733,0.48221343873517786,0.5228571428571429,0.4474327628361858,0.519559902200489,0.8981941309255079,0.20361173814898414,-9.756120283233445,0.3700703773096833,0.004302793459435074,synthetic_10k_corgan,95.0
-0.0011013215859031478,0.9757709251101321,0.9768722466960352,0.5253664036076663,0.5381062355658198,0.513215859030837,0.5363436123348018,0.9171265175077756,0.16574696498444874,-4.006684394430887,0.4331388509411391,0.004525454903800053,synthetic_10k_corgan,97.5
0.002651113467656341,0.9915164369034994,0.9888653234358431,0.5224215246636771,0.5534441805225653,0.49469214437367304,0.5477707006369427,0.9334798814871452,0.13304023702570955,-1.3431572412857502,0.5474401263316699,0.004955615528097366,synthetic_10k_corgan,99.0
-0.01326259946949615,0.8620689655172413,0.8753315649867375,0.19591836734693877,0.42105263157894735,0.1276595744680851,0.47606382978723405,0.9391331865712715,0.12173362685745692,-7.825662604254752,0.4382055310102583,0.0011174983342440942,synthetic_10k_promptehr,75.0
-0.007660167130919215,0.9317548746518106,0.9394150417827298,0.42406015037593986,0.46078431372549017,0.39275766016713093,0.46657381615598886,0.821137336272857,0.357725327454286,0.568722294682527,0.8565765014487808,0.0005089817004576696,synthetic_10k_promptehr,90.0
